136 5
k mu power error
3.82416e-02 5.19116e-01 4.80748e+04 1.70019e+03
4.25302e-02 4.80318e-01 4.29200e+04 1.32949e+03
4.71311e-02 5.23246e-01 3.90916e+04 1.09237e+03
5.24102e-02 4.91044e-01 3.59401e+04 8.92894e+02
5.71039e-02 4.93788e-01 3.38534e+04 7.58422e+02
6.25170e-02 5.09901e-01 3.31027e+04 6.90207e+02
6.75224e-02 4.97256e-01 2.88007e+04 5.37586e+02
7.25987e-02 5.01962e-01 2.68333e+04 5.16083e+02
7.76079e-02 5.00193e-01 2.56596e+04 4.14946e+02
8.27393e-02 5.06659e-01 2.25932e+04 3.94557e+02
8.75775e-02 4.92878e-01 2.03288e+04 3.05392e+02
9.25541e-02 5.11399e-01 1.84029e+04 2.81517e+02
9.76059e-02 4.94810e-01 1.69870e+04 2.43374e+02
1.02372e-01 4.96964e-01 1.57273e+04 2.14365e+02
1.07544e-01 5.04041e-01 1.48430e+04 1.97862e+02
1.12462e-01 4.95677e-01 1.42389e+04 1.76954e+02
1.17529e-01 5.04722e-01 1.37842e+04 1.71717e+02
1.22584e-01 4.95490e-01 1.33974e+04 1.54226e+02
1.27469e-01 5.04225e-01 1.26080e+04 1.48505e+02
1.32479e-01 4.96759e-01 1.18890e+04 1.28590e+02
1.37494e-01 5.03771e-01 1.12380e+04 1.20765e+02
1.42622e-01 4.98799e-01 1.08363e+04 1.13498e+02
1.47419e-01 4.98744e-01 9.89434e+03 1.02843e+02
1.52563e-01 5.03120e-01 9.50822e+03 9.51503e+01
1.57504e-01 4.95875e-01 8.86492e+03 8.66083e+01
1.62451e-01 5.04833e-01 8.45826e+03 8.25906e+01
1.67611e-01 4.96141e-01 8.06689e+03 7.38828e+01
1.72502e-01 5.01024e-01 7.74441e+03 7.49048e+01
1.77473e-01 5.00091e-01 7.52414e+03 6.69492e+01
1.82529e-01 5.01878e-01 7.34668e+03 6.49188e+01
1.87572e-01 4.98326e-01 6.91248e+03 6.15218e+01
1.92458e-01 5.00977e-01 6.75969e+03 5.75910e+01
1.97571e-01 5.01390e-01 6.51723e+03 5.54877e+01
2.02548e-01 4.93841e-01 6.15298e+03 5.05913e+01
2.07515e-01 5.06582e-01 5.92627e+03 4.94894e+01
2.12596e-01 4.97482e-01 5.72630e+03 4.57842e+01
2.17504e-01 5.00266e-01 5.44394e+03 4.48815e+01
2.22546e-01 5.00671e-01 5.29381e+03 4.17593e+01
2.27507e-01 5.00561e-01 5.05869e+03 4.01906e+01
2.32472e-01 4.98215e-01 4.97208e+03 3.92183e+01
2.37469e-01 5.00188e-01 4.78924e+03 3.61131e+01
2.42571e-01 5.00906e-01 4.55117e+03 3.52909e+01
2.47520e-01 4.96644e-01 4.45575e+03 3.34853e+01
2.52492e-01 5.03271e-01 4.27217e+03 3.25208e+01
2.57495e-01 4.98243e-01 4.13797e+03 3.09255e+01
2.62437e-01 5.00408e-01 4.07270e+03 2.99963e+01
2.67543e-01 5.00870e-01 3.88685e+03 2.85046e+01
2.72467e-01 5.01105e-01 3.78127e+03 2.78840e+01
2.77475e-01 4.99593e-01 3.65454e+03 2.64913e+01
2.82557e-01 4.99348e-01 3.54768e+03 2.51938e+01
2.87572e-01 5.01646e-01 3.45504e+03 2.52149e+01
